 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
,,,,,,,,,0.781626916,1.198857319
,,,,,,,,,0.926968427,1.136534844
,,,,,,,,,1.674529673,0.737284985
,,,,,,,,,1.130073871,1.209726947
,,,,,,,,,0.75883058,0.860056471
,,,,,,,,,0.565676232,1.316623081
,,,,,,,,,1.695462656,1.14745684
,,,,,,,,,0.919515016,0.959258767
,,,,,,,,,1.45053089,0.799404207
,,,,,,,,,0.758870226,0.593426551
,,,,,,,,,1.255711419,0.935375041
,,,,,,,,,0.472112138,0.6788001
,,,,,,,,,0.442774245,1.020000056
,,,,,,,,,1.304555047,0.539398508
,,,,,,,,,0.558381404,0.946830536
,,,,,,,,,1.036509778,0.447351315
,,,,,,,,,0.75712581,1.079191908
,,,,,,,,,0.765847887,0.850646272
,,,,,,,,,1.166865176,0.511388186
,,,,,,,,,1.61732078,0.968871563
,,,,,,,,,1.439985107,1.346073522
,,,,,,,,,1.481573554,1.348053032
,,,,,,,,,0.878600548,0.870619419
,,,,,,,,,1.525857915,1.354804573
,,,,,,,,,1.114849883,0.456116405
,,,,,,,,,1.669811822,0.841722115
,,,,,,,,,1.33805575,0.84520393
,,,,,,,,,1.086344552,0.320830281
,,,,,,,,,0.573288226,0.792509962
,,,,,,,,,0.808942874,0.96297362
,,,,,,,,,0.500221012,1.250909124
,,,,,,,,,1.025091787,0.862390773
,,,,,,,,,1.521377939,0.888972431
,,,,,,,,,0.961658504,0.823259457
,,,,,,,,,1.162147325,0.986910368
,,,,,,,,,0.421325866,0.928175099
,,,,,,,,,0.548985349,0.588199572
,,,,,,,,,1.646619028,0.783761892
,,,,,,,,,1.178203875,1.349012675
,,,,,,,,,1.541438715,0.784646256
,,,,,,,,,1.420479372,0.957034437
,,,,,,,,,0.802203087,1.348126347
,,,,,,,,,0.474371949,1.445924854
,,,,,,,,,0.649566749,0.512046714
,,,,,,,,,0.584270113,1.290314718
,,,,,,,,,0.746064631,1.54885935
,,,,,,,,,0.869838826,0.823693129
,,,,,,,,,1.697405301,1.382524253
,,,,,,,,,1.478441535,0.826611007
,,,,,,,,,0.496811473,1.17603339
,,,,,,,,,1.343566516,0.779275265
,,,,,,,,,0.806603771,0.962477433
,,,,,,,,,0.837012102,0.915145619
,,,,,,,,,0.642628734,0.692309729
,,,,,,,,,1.128725914,0.791019439
,,,,,,,,,0.531898008,0.714454838
,,,,,,,,,1.275137862,0.590373498
,,,,,,,,,0.823849695,0.427422681
,,,,,,,,,1.581679204,0.461338801
,,,,,,,,,0.519449226,0.495946179
,,,,,,,,,1.152632333,0.909943515
,,,,,,,,,0.425012925,0.75960258
,,,,,,,,,1.019977479,0.891131956
,,,,,,,,,1.46337613,0.596560774
,,,,,,,,,1.704184733,0.8435203
,,,,,,,,,0.731237101,1.341893248
,,,,,,,,,0.757403331,0.94489063
,,,,,,,,,1.452671764,0.469487259
,,,,,,,,,0.62244902,0.697992964
,,,,,,,,,0.95678207,1.029887785
,,,,,,,,,0.941716665,1.32381975
,,,,,,,,,0.826149152,1.104314136
,,,,,,,,,1.689912244,0.650054663
,,,,,,,,,0.690600154,0.86811623
,,,,,,,,,0.525752909,0.89443703
,,,,,,,,,1.122501523,1.282957017
,,,,,,,,,0.552394888,0.956607638
,,,,,,,,,1.166984113,1.171885847
,,,,,,,,,0.762557285,1.109179776
,,,,,,,,,1.252460463,0.121119763
